[2026-03-12T16:38:50.099683Z] | [0.54] | [0f7dcd1e] | [Banco Unión S.A.]
[2026-03-12T16:38:50.250032Z] | [2.64] | [bf0f559c] | [Banco Unión S.A.]
[2026-03-12T16:38:50.252024Z] | [0.88] | [664c1c5b] | [Banco Unión S.A.]
[2026-03-12T16:38:50.254000Z] | [3.06] | [112bb722] | [Banco Unión S.A.]
[2026-03-12T16:38:50.256107Z] | [2.91] | [ccddd73a] | [Banco Unión S.A.]
[2026-03-12T16:38:50.258095Z] | [1.96] | [f69da3d3] | [Banco Unión S.A.]
[2026-03-12T16:38:50.260293Z] | [3.49] | [541813b3] | [Banco Unión S.A.]
[2026-03-12T16:38:50.262095Z] | [2.19] | [fc1f89f9] | [Banco Unión S.A.]
[2026-03-12T16:38:50.263708Z] | [3.08] | [b864c6f0] | [Banco Unión S.A.]
[2026-03-12T16:38:50.265552Z] | [2.56] | [d00aa54a] | [Banco Unión S.A.]
[2026-03-12T16:38:50.267697Z] | [2.04] | [2cfcbec6] | [Banco Unión S.A.]
[2026-03-12T16:38:50.273190Z] | [3.4] | [b5d719a5] | [Banco Unión S.A.]
[2026-03-12T16:38:50.278906Z] | [0.84] | [77abb1cf] | [Banco Unión S.A.]
[2026-03-12T16:38:50.283123Z] | [3.59] | [6b4df0f1] | [Banco Unión S.A.]
[2026-03-12T16:38:50.286296Z] | [0.64] | [07f77d4f] | [Banco Unión S.A.]
[2026-03-12T16:38:50.287961Z] | [3.49] | [187dfd38] | [Banco Unión S.A.]
[2026-03-12T16:38:50.290731Z] | [3.18] | [5037d86d] | [Banco Unión S.A.]
[2026-03-12T16:38:50.292689Z] | [2.26] | [e8d4e872] | [Banco Unión S.A.]
[2026-03-12T16:38:50.298328Z] | [2.23] | [81c29e62] | [Banco Unión S.A.]
[2026-03-12T16:38:50.299948Z] | [1.87] | [ad0fcc91] | [Banco Unión S.A.]
[2026-03-12T16:38:50.301535Z] | [3.95] | [6da7398e] | [Banco Unión S.A.]
[2026-03-12T16:38:50.303092Z] | [3.62] | [4730985e] | [Banco Unión S.A.]
[2026-03-12T16:38:50.304667Z] | [2.46] | [e6c6cbe6] | [Banco Unión S.A.]
[2026-03-12T16:38:50.306622Z] | [3.2] | [93a2fa51] | [Banco Unión S.A.]
[2026-03-12T16:38:50.309086Z] | [3.81] | [6312f63b] | [Banco Unión S.A.]
[2026-03-12T16:38:50.310657Z] | [3.88] | [d00c8489] | [Banco Unión S.A.]
[2026-03-12T16:38:50.312133Z] | [2.18] | [ab8e2579] | [Banco Unión S.A.]
[2026-03-12T16:38:50.313651Z] | [2.96] | [64e083ba] | [Banco Unión S.A.]
[2026-03-12T16:38:50.315076Z] | [2.1] | [e0ec5325] | [Banco Unión S.A.]
[2026-03-12T16:38:50.316553Z] | [0.77] | [9c36830c] | [Banco Unión S.A.]
[2026-03-12T16:38:50.317961Z] | [2.39] | [b5079557] | [Banco Unión S.A.]
[2026-03-12T16:38:50.319436Z] | [1.35] | [83c9bdcc] | [Banco Unión S.A.]
[2026-03-12T16:38:50.320945Z] | [2.21] | [ca6b5a5d] | [Banco Unión S.A.]
[2026-03-12T16:38:50.322571Z] | [0.92] | [4dea3c8d] | [Banco Unión S.A.]
[2026-03-12T16:38:50.326410Z] | [1.11] | [32f6f567] | [Banco Unión S.A.]
[2026-03-12T16:38:50.327882Z] | [1.66] | [4a51d3a8] | [Banco Unión S.A.]
[2026-03-12T16:38:50.329348Z] | [2.87] | [ac70a1cd] | [Banco Unión S.A.]
[2026-03-12T16:38:50.330793Z] | [2.5] | [8f1ae65c] | [Banco Unión S.A.]
[2026-03-12T16:38:50.332262Z] | [1.52] | [b4b29066] | [Banco Unión S.A.]
[2026-03-12T16:38:50.333726Z] | [2.75] | [e8d5ec77] | [Banco Unión S.A.]
[2026-03-12T16:38:50.335151Z] | [2.09] | [6a0b2adf] | [Banco Unión S.A.]
[2026-03-12T16:38:50.336726Z] | [3.53] | [5fe99a1b] | [Banco Unión S.A.]
[2026-03-12T16:38:50.338361Z] | [1.51] | [cf24a2cc] | [Banco Unión S.A.]
[2026-03-12T16:38:50.341312Z] | [1.76] | [e7500ada] | [Banco Unión S.A.]
[2026-03-12T16:38:50.343007Z] | [3.87] | [ac72eb51] | [Banco Unión S.A.]
[2026-03-12T16:38:50.344488Z] | [2.43] | [95603c09] | [Banco Unión S.A.]
[2026-03-12T16:38:50.345972Z] | [0.82] | [ab77d687] | [Banco Unión S.A.]
[2026-03-12T16:38:50.347420Z] | [2.08] | [91a855d1] | [Banco Unión S.A.]
[2026-03-12T16:38:50.348915Z] | [1.63] | [77d67558] | [Banco Unión S.A.]
[2026-03-12T16:38:50.350436Z] | [0.65] | [f74227db] | [Banco Unión S.A.]
[2026-03-12T16:38:50.351909Z] | [3.44] | [e3e8972e] | [Banco Unión S.A.]
[2026-03-12T16:38:50.353552Z] | [3.19] | [c39e1fb7] | [Banco Unión S.A.]
[2026-03-12T16:38:50.355044Z] | [0.59] | [c0af22c7] | [Banco Unión S.A.]
[2026-03-12T16:38:50.358047Z] | [3.6] | [fe5cc40b] | [Banco Unión S.A.]
[2026-03-12T16:38:50.359826Z] | [3.74] | [0bb8a743] | [Banco Unión S.A.]
[2026-03-12T16:38:50.361346Z] | [2.01] | [1eb66bd8] | [Banco Unión S.A.]
[2026-03-12T16:38:50.362802Z] | [2.18] | [3dc85b81] | [Banco Unión S.A.]
[2026-03-12T16:38:50.364297Z] | [1.98] | [8f7fa3c0] | [Banco Unión S.A.]
[2026-03-12T16:38:50.365753Z] | [0.93] | [f88ab54b] | [Banco Unión S.A.]
[2026-03-12T16:38:50.367233Z] | [2.61] | [e41f3ac8] | [Banco Unión S.A.]
[2026-03-12T16:38:50.368821Z] | [1.97] | [dbe96325] | [Banco Unión S.A.]
[2026-03-12T16:38:50.370528Z] | [0.88] | [3b3beaa1] | [Banco Unión S.A.]
[2026-03-12T16:38:50.372859Z] | [1.31] | [5cb67312] | [Banco Unión S.A.]
[2026-03-12T16:38:50.374430Z] | [1.91] | [fa11a267] | [Banco Unión S.A.]
[2026-03-12T16:38:50.375960Z] | [1.78] | [6d2e5338] | [Banco Unión S.A.]
[2026-03-12T16:38:50.377535Z] | [0.9] | [b8b1454e] | [Banco Unión S.A.]
[2026-03-12T16:38:50.378977Z] | [1.57] | [dc5a2ca0] | [Banco Unión S.A.]
[2026-03-12T16:38:50.380440Z] | [3.04] | [a77f5bfa] | [Banco Unión S.A.]
[2026-03-12T16:38:50.381892Z] | [2.05] | [9e54eb87] | [Banco Unión S.A.]
[2026-03-12T16:38:50.383373Z] | [2.09] | [8db2d2c9] | [Banco Unión S.A.]
[2026-03-12T16:38:50.384904Z] | [0.69] | [ad26afb3] | [Banco Unión S.A.]
[2026-03-12T16:38:50.386816Z] | [2.71] | [78441fd5] | [Banco Unión S.A.]
[2026-03-12T16:38:50.389884Z] | [3.43] | [350c7014] | [Banco Unión S.A.]
[2026-03-12T16:38:50.392072Z] | [3.91] | [a823762e] | [Banco Unión S.A.]
[2026-03-12T16:38:50.393557Z] | [2.89] | [e3e0d80f] | [Banco Unión S.A.]
[2026-03-12T16:38:50.394986Z] | [1.85] | [7892d37d] | [Banco Unión S.A.]
[2026-03-12T16:38:50.396393Z] | [0.81] | [a11f0a23] | [Banco Unión S.A.]
[2026-03-12T16:38:50.398561Z] | [0.62] | [6712b5a7] | [Banco Unión S.A.]
[2026-03-12T16:38:50.401209Z] | [0.99] | [7aa20286] | [Banco Unión S.A.]
[2026-03-12T16:38:50.403456Z] | [1.04] | [60dc9d0e] | [Banco Unión S.A.]
[2026-03-12T16:38:50.405357Z] | [2.47] | [2909a27d] | [Banco Unión S.A.]
[2026-03-12T16:38:50.407169Z] | [0.82] | [d6eddeb8] | [Banco Unión S.A.]
[2026-03-12T16:38:50.408814Z] | [2.19] | [7e00ce20] | [Banco Unión S.A.]
[2026-03-12T16:38:50.410358Z] | [0.97] | [75d9afc3] | [Banco Unión S.A.]
[2026-03-12T16:38:50.411864Z] | [2.42] | [65c0d54e] | [Banco Unión S.A.]
[2026-03-12T16:38:50.413402Z] | [3.82] | [7f3f3e9c] | [Banco Unión S.A.]
[2026-03-12T16:38:50.415136Z] | [0.99] | [b290db60] | [Banco Unión S.A.]
[2026-03-12T16:38:50.416995Z] | [3.02] | [6a22c3b7] | [Banco Unión S.A.]
[2026-03-12T16:38:50.419641Z] | [2.12] | [ff82d624] | [Banco Unión S.A.]
[2026-03-12T16:38:50.421312Z] | [3.93] | [7e27ee53] | [Banco Unión S.A.]
[2026-03-12T16:38:50.422827Z] | [2.4] | [6e28603f] | [Banco Unión S.A.]
[2026-03-12T16:38:50.424279Z] | [3.36] | [b84b1b78] | [Banco Unión S.A.]
[2026-03-12T16:38:50.425742Z] | [3.66] | [77b1d8d6] | [Banco Unión S.A.]
[2026-03-12T16:38:50.427185Z] | [2.92] | [c677b89c] | [Banco Unión S.A.]
[2026-03-12T16:38:50.428662Z] | [2.19] | [f209ca74] | [Banco Unión S.A.]
[2026-03-12T16:38:50.430107Z] | [0.94] | [533b11e9] | [Banco Unión S.A.]
[2026-03-12T16:38:50.431952Z] | [3.08] | [f2c1dab1] | [Banco Unión S.A.]
[2026-03-12T16:38:50.433389Z] | [1.44] | [4b1c5a9c] | [Banco Unión S.A.]
[2026-03-12T16:38:50.435744Z] | [3.28] | [3879cff6] | [Banco Unión S.A.]
[2026-03-12T16:38:50.437227Z] | [2.76] | [fe0589ed] | [Banco Unión S.A.]
[2026-03-12T16:38:50.438694Z] | [2.87] | [c8c69938] | [Banco Unión S.A.]
[2026-03-12T16:38:50.440158Z] | [0.89] | [8c503720] | [Banco Unión S.A.]
[2026-03-12T16:38:50.441537Z] | [1.58] | [4fbf3b68] | [Banco Unión S.A.]
[2026-03-12T16:38:50.442954Z] | [2.45] | [e43b813d] | [Banco Unión S.A.]
[2026-03-12T16:38:50.444395Z] | [1.22] | [60c2f59e] | [Banco Unión S.A.]
[2026-03-12T16:38:50.445834Z] | [2.91] | [07ce3806] | [Banco Unión S.A.]
[2026-03-12T16:38:50.447549Z] | [0.95] | [7a1fa069] | [Banco Unión S.A.]
[2026-03-12T16:38:50.449385Z] | [0.94] | [a5308659] | [Banco Unión S.A.]
[2026-03-12T16:38:50.450822Z] | [1.46] | [27938438] | [Banco Unión S.A.]
[2026-03-12T16:38:50.452244Z] | [1.28] | [0c2801a7] | [Banco Unión S.A.]
[2026-03-12T16:38:50.453695Z] | [2.91] | [431a617a] | [Banco Unión S.A.]
[2026-03-12T16:38:50.455115Z] | [1.27] | [5cbd0a0c] | [Banco Unión S.A.]
[2026-03-12T16:38:50.456607Z] | [1.52] | [b5c4568c] | [Banco Unión S.A.]
[2026-03-12T16:38:50.457973Z] | [1.75] | [dc68dd46] | [Banco Unión S.A.]
[2026-03-12T16:38:50.459338Z] | [3.5] | [7ef5ef0c] | [Banco Unión S.A.]
[2026-03-12T16:38:50.460766Z] | [1.71] | [9ad22043] | [Banco Unión S.A.]
[2026-03-12T16:38:50.462394Z] | [0.8] | [9eb5d712] | [Banco Unión S.A.]
[2026-03-12T16:38:50.463882Z] | [3.21] | [7c2818a1] | [Banco Unión S.A.]
[2026-03-12T16:38:50.465410Z] | [1.11] | [c8aad3d2] | [Banco Unión S.A.]
[2026-03-12T16:38:50.466870Z] | [1.72] | [be784f23] | [Banco Unión S.A.]
[2026-03-12T16:38:50.468307Z] | [1.25] | [a5776589] | [Banco Unión S.A.]
[2026-03-12T16:38:50.469753Z] | [0.92] | [28504b69] | [Banco Unión S.A.]
[2026-03-12T16:38:50.471173Z] | [2.78] | [9557710d] | [Banco Unión S.A.]
[2026-03-12T16:38:50.472619Z] | [3.7] | [8ea81bb9] | [Banco Unión S.A.]
[2026-03-12T16:38:50.474066Z] | [0.69] | [5894923e] | [Banco Unión S.A.]
[2026-03-12T16:38:50.475554Z] | [0.5] | [6e6ab357] | [Banco Unión S.A.]
[2026-03-12T16:38:50.477054Z] | [0.99] | [f3615748] | [Banco Unión S.A.]
[2026-03-12T16:38:50.478498Z] | [1.45] | [f3e22436] | [Banco Unión S.A.]
[2026-03-12T16:38:50.480542Z] | [3.61] | [d0c0e384] | [Banco Unión S.A.]
[2026-03-12T16:38:50.482066Z] | [2.63] | [1a331ca2] | [Banco Unión S.A.]
[2026-03-12T16:38:50.483552Z] | [3.03] | [73eed935] | [Banco Unión S.A.]
[2026-03-12T16:38:50.485090Z] | [2.67] | [1b9e4702] | [Banco Unión S.A.]
[2026-03-12T16:38:50.486512Z] | [2.22] | [2d1747a6] | [Banco Unión S.A.]
[2026-03-12T16:38:50.488028Z] | [2.24] | [20664732] | [Banco Unión S.A.]
[2026-03-12T16:38:50.489469Z] | [3.03] | [36556604] | [Banco Unión S.A.]
[2026-03-12T16:38:50.490902Z] | [2.31] | [d6b40b6c] | [Banco Unión S.A.]
[2026-03-12T16:38:50.492335Z] | [0.93] | [4a8d54dc] | [Banco Unión S.A.]
[2026-03-12T16:38:50.493760Z] | [1.59] | [d6b97721] | [Banco Unión S.A.]
[2026-03-12T16:38:50.495855Z] | [3.11] | [842e5e9f] | [Banco Unión S.A.]
[2026-03-12T16:38:50.497225Z] | [1.82] | [6bb4dd60] | [Banco Unión S.A.]
[2026-03-12T16:38:50.498562Z] | [3.78] | [5c2f8e3a] | [Banco Unión S.A.]
[2026-03-12T16:38:50.499918Z] | [2.33] | [1a370d0f] | [Banco Unión S.A.]
[2026-03-12T16:38:50.501344Z] | [3.38] | [a7e3613c] | [Banco Unión S.A.]
[2026-03-12T16:38:50.502690Z] | [1.62] | [d76201c7] | [Banco Unión S.A.]
[2026-03-12T16:38:50.504057Z] | [0.66] | [c52bfe21] | [Banco Unión S.A.]
[2026-03-12T16:38:50.505384Z] | [3.59] | [2c9f3509] | [Banco Unión S.A.]
[2026-03-12T16:38:50.506716Z] | [1.9] | [693ec18e] | [Banco Unión S.A.]
[2026-03-12T16:38:50.508061Z] | [2.97] | [41bb0152] | [Banco Unión S.A.]
[2026-03-12T16:38:50.509469Z] | [2.49] | [0318e956] | [Banco Unión S.A.]
[2026-03-12T16:38:50.511071Z] | [3.55] | [54a75593] | [Banco Unión S.A.]
[2026-03-12T16:38:50.512566Z] | [1.25] | [b96aa3f6] | [Banco Unión S.A.]
[2026-03-12T16:38:50.513905Z] | [1.65] | [7498eebb] | [Banco Unión S.A.]
[2026-03-12T16:38:50.515728Z] | [1.16] | [e7f914d4] | [Banco Unión S.A.]
[2026-03-12T16:38:50.517148Z] | [2.41] | [813df324] | [Banco Unión S.A.]
[2026-03-12T16:38:50.518545Z] | [1.37] | [8652788f] | [Banco Unión S.A.]
[2026-03-12T16:38:50.520046Z] | [2.48] | [1289faf3] | [Banco Unión S.A.]
[2026-03-12T16:38:50.521465Z] | [2.46] | [870d53a7] | [Banco Unión S.A.]
[2026-03-12T16:38:50.522868Z] | [1.56] | [1b60c4b2] | [Banco Unión S.A.]
[2026-03-12T16:38:50.524280Z] | [1.05] | [3ceb71e4] | [Banco Unión S.A.]
[2026-03-12T16:38:50.525676Z] | [3.76] | [80c8bf58] | [Banco Unión S.A.]
[2026-03-12T16:38:50.527783Z] | [3.11] | [b22d6c84] | [Banco Unión S.A.]
[2026-03-12T16:38:50.529268Z] | [2.45] | [c6c97bf9] | [Banco Unión S.A.]
[2026-03-12T16:38:50.530687Z] | [2.19] | [1ddb7853] | [Banco Unión S.A.]
[2026-03-12T16:38:50.532185Z] | [0.75] | [a2c1b1ec] | [Banco Unión S.A.]
[2026-03-12T16:38:50.533610Z] | [1.76] | [cca21be3] | [Banco Unión S.A.]
[2026-03-12T16:38:50.535093Z] | [2.63] | [769a07e7] | [Banco Unión S.A.]
[2026-03-12T16:38:50.536506Z] | [2.1] | [a8f95bfb] | [Banco Unión S.A.]
[2026-03-12T16:38:50.537924Z] | [0.55] | [a4ce6ede] | [Banco Unión S.A.]
[2026-03-12T16:38:50.539348Z] | [0.54] | [9688c266] | [Banco Unión S.A.]
[2026-03-12T16:38:50.540881Z] | [1.08] | [8cd3fb28] | [Banco Unión S.A.]
[2026-03-12T16:38:50.542302Z] | [3.16] | [f86f21c4] | [Banco Unión S.A.]
[2026-03-12T16:38:50.543689Z] | [0.77] | [a6d726b1] | [Banco Unión S.A.]
[2026-03-12T16:38:50.545081Z] | [1.86] | [099ebdbb] | [Banco Unión S.A.]
[2026-03-12T16:38:50.546487Z] | [1.11] | [b8f38bd8] | [Banco Unión S.A.]
[2026-03-12T16:38:50.547820Z] | [3.28] | [7145961f] | [Banco Unión S.A.]
[2026-03-12T16:38:50.549180Z] | [3.63] | [2ffe4ef4] | [Banco Unión S.A.]
[2026-03-12T16:38:50.550527Z] | [1.82] | [80218a6a] | [Banco Unión S.A.]
[2026-03-12T16:38:50.551859Z] | [3.54] | [11fa8110] | [Banco Unión S.A.]
[2026-03-12T16:38:50.553311Z] | [2.44] | [1f3223db] | [Banco Unión S.A.]
[2026-03-12T16:38:50.554734Z] | [2.74] | [4ada7a77] | [Banco Unión S.A.]
[2026-03-12T16:38:50.556162Z] | [3.47] | [3b5ec5fa] | [Banco Unión S.A.]
[2026-03-12T16:38:50.557582Z] | [0.85] | [a93f9463] | [Banco Unión S.A.]
[2026-03-12T16:38:50.558913Z] | [3.44] | [178fc94f] | [Banco Unión S.A.]
[2026-03-12T16:38:50.560256Z] | [3.55] | [125f3750] | [Banco Unión S.A.]
[2026-03-12T16:38:50.561590Z] | [0.79] | [e98b62a1] | [Banco Unión S.A.]
[2026-03-12T16:38:50.562922Z] | [2.58] | [916e979c] | [Banco Unión S.A.]
[2026-03-12T16:38:50.564280Z] | [3.49] | [9a89cf65] | [Banco Unión S.A.]
[2026-03-12T16:38:50.565633Z] | [2.47] | [7cff71b2] | [Banco Unión S.A.]
[2026-03-12T16:38:50.566968Z] | [1.03] | [96d65a6c] | [Banco Unión S.A.]
[2026-03-12T16:38:50.568312Z] | [2.25] | [7a6cba12] | [Banco Unión S.A.]
[2026-03-12T16:38:50.569666Z] | [2.88] | [e8d89d68] | [Banco Unión S.A.]
[2026-03-12T16:38:50.570999Z] | [2.09] | [ccdea0ba] | [Banco Unión S.A.]
[2026-03-12T16:38:50.572556Z] | [2.53] | [9aec43f9] | [Banco Unión S.A.]
[2026-03-12T16:38:50.573854Z] | [0.69] | [32ab0d6d] | [Banco Unión S.A.]
[2026-03-12T16:38:50.575146Z] | [2.85] | [8a594dcb] | [Banco Unión S.A.]
[2026-03-12T16:38:50.576503Z] | [1.24] | [0a0f284f] | [Banco Unión S.A.]
[2026-03-12T16:38:50.577953Z] | [0.51] | [6acfa13b] | [Banco Unión S.A.]
[2026-03-12T16:38:50.579400Z] | [1.22] | [e915dd15] | [Banco Unión S.A.]
[2026-03-12T16:38:50.580775Z] | [2.84] | [d9162409] | [Banco Unión S.A.]
[2026-03-12T16:38:50.582123Z] | [2.25] | [0fa7bf9b] | [Banco Unión S.A.]
[2026-03-12T16:38:50.583505Z] | [0.65] | [5fd76b7c] | [Banco Unión S.A.]
[2026-03-12T16:38:50.584948Z] | [0.53] | [28591d7c] | [Banco Unión S.A.]
[2026-03-12T16:38:50.586341Z] | [2.36] | [4eac7fa4] | [Banco Unión S.A.]
[2026-03-12T16:38:50.587866Z] | [0.97] | [778614da] | [Banco Unión S.A.]
[2026-03-12T16:38:50.589251Z] | [3.12] | [e64ae084] | [Banco Unión S.A.]
[2026-03-12T16:38:50.590602Z] | [3.53] | [099d70b4] | [Banco Unión S.A.]
[2026-03-12T16:38:50.591952Z] | [2.93] | [551f799f] | [Banco Unión S.A.]
[2026-03-12T16:38:50.593311Z] | [1.93] | [ceca216e] | [Banco Unión S.A.]
[2026-03-12T16:38:50.594674Z] | [0.53] | [f8b83585] | [Banco Unión S.A.]
[2026-03-12T16:38:50.596016Z] | [3.14] | [3086fb21] | [Banco Unión S.A.]
[2026-03-12T16:38:50.597387Z] | [1.14] | [873ea3de] | [Banco Unión S.A.]
[2026-03-12T16:38:50.598746Z] | [1.11] | [960965b6] | [Banco Unión S.A.]
[2026-03-12T16:38:50.600081Z] | [3.68] | [2501753a] | [Banco Unión S.A.]
[2026-03-12T16:38:50.601496Z] | [1.75] | [2e2cebe9] | [Banco Unión S.A.]
[2026-03-12T16:38:50.603499Z] | [2.87] | [4b436b4a] | [Banco Unión S.A.]
[2026-03-12T16:38:50.605134Z] | [1.86] | [26e56115] | [Banco Unión S.A.]
